"scenario_id","replicate_id","n","J","J_block","true_K1","true_K2","fit_K1","fit_K2","BIC_mod","mean_parameter_count","elapsed_min","seed","path","true_model_BIC","best_incorrect_BIC","BIC_margin_best_wrong_minus_true","best_wrong_K1","best_wrong_K2","correct"
11,56,1000,72,36,3,3,3,3,150761.32864422,304.82,1.34657918214798,12520303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_056/fit_K1_3_K2_3.rds",150761.32864422,151166.161482986,404.832838766015,4,3,TRUE
17,56,1000,72,36,4,4,4,4,151304.620031949,335.7,2.04069245656331,18520404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_056/fit_K1_4_K2_4.rds",151304.620031949,151622.543813215,317.923781265999,5,4,TRUE
5,57,1000,72,36,2,2,2,2,148737.011000593,269.322,0.683825616041819,6530202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_057/fit_K1_2_K2_2.rds",148737.011000593,149110.941382089,373.930381496,3,2,TRUE
11,57,1000,72,36,3,3,3,3,150563.924986059,300.822,1.34077122211456,12530303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_057/fit_K1_3_K2_3.rds",150563.924986059,150954.877656459,390.952670400002,4,3,TRUE
17,57,1000,72,36,4,4,4,4,151300.608523688,338.128,2.01299748023351,18530404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_057/fit_K1_4_K2_4.rds",151300.608523688,151646.981064285,346.372540597018,5,4,TRUE
5,58,1000,72,36,2,2,2,2,148508.341303702,267.17,0.988183001677195,6540202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_058/fit_K1_2_K2_2.rds",148508.341303702,148856.946694195,348.605390493001,3,2,TRUE
11,58,1000,72,36,3,3,3,3,149743.962694512,304.944,1.34515696763992,12540303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_058/fit_K1_3_K2_3.rds",149743.962694512,150042.416449812,298.453755299997,4,3,TRUE
17,58,1000,72,36,4,4,4,4,151273.021821146,342.78,1.9504231651624,18540404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_058/fit_K1_4_K2_4.rds",151273.021821146,151661.226479422,388.204658276023,5,4,TRUE
5,59,1000,72,36,2,2,2,2,149127.290257842,270.634,0.990107230345408,6550202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_059/fit_K1_2_K2_2.rds",149127.290257842,149515.283727043,387.993469200999,3,2,TRUE
11,59,1000,72,36,3,3,3,3,150198.213672014,302.734,1.33808220624924,12550303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_059/fit_K1_3_K2_3.rds",150198.213672014,150701.522877751,503.309205736994,4,3,TRUE
17,59,1000,72,36,4,4,4,4,151229.014673547,343.166,2.04451907873154,18550404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_059/fit_K1_4_K2_4.rds",151229.014673547,151533.381125476,304.366451929003,5,4,TRUE
5,60,1000,72,36,2,2,2,2,148839.547650475,268.692,0.984407186508179,6560202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_060/fit_K1_2_K2_2.rds",148839.547650475,149194.396428673,354.848778198007,3,2,TRUE
11,60,1000,72,36,3,3,3,3,150162.6744673,304.104,1.35094422896703,12560303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_060/fit_K1_3_K2_3.rds",150162.6744673,151062.147149707,899.47268240698,4,3,TRUE
17,60,1000,72,36,4,4,4,4,151453.756239723,336.494,2.03976018428803,18560404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_060/fit_K1_4_K2_4.rds",151453.756239723,151857.899027186,404.142787463003,5,4,TRUE
