"model","dataset_id","K","bic","path"
"conventional_cdm",33,6,97937.8260336435,"result/conventional_cdm/dataset_033_K_6.rds"
"conventional_cdm",34,2,99878.1902474036,"result/conventional_cdm/dataset_034_K_2.rds"
"conventional_cdm",34,3,98493.9717558914,"result/conventional_cdm/dataset_034_K_3.rds"
"conventional_cdm",34,4,98581.8168885012,"result/conventional_cdm/dataset_034_K_4.rds"
"conventional_cdm",34,5,97646.4305632318,"result/conventional_cdm/dataset_034_K_5.rds"
"conventional_cdm",34,6,98115.7930348118,"result/conventional_cdm/dataset_034_K_6.rds"
"conventional_cdm",35,2,100338.932851729,"result/conventional_cdm/dataset_035_K_2.rds"
"conventional_cdm",35,3,99102.5669175234,"result/conventional_cdm/dataset_035_K_3.rds"
"conventional_cdm",35,4,97895.8144882957,"result/conventional_cdm/dataset_035_K_4.rds"
"conventional_cdm",35,5,98011.4243907772,"result/conventional_cdm/dataset_035_K_5.rds"
"conventional_cdm",35,6,98730.4933883407,"result/conventional_cdm/dataset_035_K_6.rds"
"conventional_cdm",36,2,100069.101856003,"result/conventional_cdm/dataset_036_K_2.rds"
"conventional_cdm",36,3,98732.3503993134,"result/conventional_cdm/dataset_036_K_3.rds"
"conventional_cdm",36,4,97834.9418913118,"result/conventional_cdm/dataset_036_K_4.rds"
"conventional_cdm",36,5,97796.2616006734,"result/conventional_cdm/dataset_036_K_5.rds"
"conventional_cdm",36,6,98192.7480272977,"result/conventional_cdm/dataset_036_K_6.rds"
"conventional_cdm",37,2,99550.0562434207,"result/conventional_cdm/dataset_037_K_2.rds"
"conventional_cdm",37,3,98266.6182979947,"result/conventional_cdm/dataset_037_K_3.rds"
"conventional_cdm",37,4,97260.1446451707,"result/conventional_cdm/dataset_037_K_4.rds"
"conventional_cdm",37,5,97701.0420051146,"result/conventional_cdm/dataset_037_K_5.rds"
"conventional_cdm",37,6,97787.4092271065,"result/conventional_cdm/dataset_037_K_6.rds"
"conventional_cdm",38,2,99981.8213828627,"result/conventional_cdm/dataset_038_K_2.rds"
"conventional_cdm",38,3,98750.9307306678,"result/conventional_cdm/dataset_038_K_3.rds"
"conventional_cdm",38,4,97835.2187981003,"result/conventional_cdm/dataset_038_K_4.rds"
"conventional_cdm",38,5,98327.595753637,"result/conventional_cdm/dataset_038_K_5.rds"
"conventional_cdm",38,6,98787.236118968,"result/conventional_cdm/dataset_038_K_6.rds"
"conventional_cdm",39,2,99957.6778490264,"result/conventional_cdm/dataset_039_K_2.rds"
"conventional_cdm",39,3,100140.02494258,"result/conventional_cdm/dataset_039_K_3.rds"
"conventional_cdm",39,4,98665.2100395152,"result/conventional_cdm/dataset_039_K_4.rds"
"conventional_cdm",39,5,97771.4437071413,"result/conventional_cdm/dataset_039_K_5.rds"
"conventional_cdm",39,6,98233.8693096414,"result/conventional_cdm/dataset_039_K_6.rds"
"conventional_cdm",40,2,99902.248136484,"result/conventional_cdm/dataset_040_K_2.rds"
"conventional_cdm",40,3,98683.2269183743,"result/conventional_cdm/dataset_040_K_3.rds"
"conventional_cdm",40,4,97780.4253271258,"result/conventional_cdm/dataset_040_K_4.rds"
"conventional_cdm",40,5,97875.5314553458,"result/conventional_cdm/dataset_040_K_5.rds"
"conventional_cdm",40,6,97983.6291241695,"result/conventional_cdm/dataset_040_K_6.rds"
"conventional_cdm",41,2,99737.4393395512,"result/conventional_cdm/dataset_041_K_2.rds"
"conventional_cdm",41,3,98546.3646699685,"result/conventional_cdm/dataset_041_K_3.rds"
"conventional_cdm",41,4,97431.017740623,"result/conventional_cdm/dataset_041_K_4.rds"
"conventional_cdm",41,5,97633.3040306723,"result/conventional_cdm/dataset_041_K_5.rds"
"conventional_cdm",41,6,98183.7672599389,"result/conventional_cdm/dataset_041_K_6.rds"
"conventional_cdm",42,2,99962.5428777175,"result/conventional_cdm/dataset_042_K_2.rds"
"conventional_cdm",42,3,98569.8129639425,"result/conventional_cdm/dataset_042_K_3.rds"
"conventional_cdm",42,4,97543.1445811738,"result/conventional_cdm/dataset_042_K_4.rds"
"conventional_cdm",42,5,97576.155534335,"result/conventional_cdm/dataset_042_K_5.rds"
"conventional_cdm",42,6,98124.0350322311,"result/conventional_cdm/dataset_042_K_6.rds"
"conventional_cdm",43,2,99898.2649958286,"result/conventional_cdm/dataset_043_K_2.rds"
"conventional_cdm",43,3,98593.9917513761,"result/conventional_cdm/dataset_043_K_3.rds"
"conventional_cdm",43,4,98788.2460448141,"result/conventional_cdm/dataset_043_K_4.rds"
"conventional_cdm",43,5,97871.5979949303,"result/conventional_cdm/dataset_043_K_5.rds"
"conventional_cdm",43,6,98339.5073297044,"result/conventional_cdm/dataset_043_K_6.rds"
"conventional_cdm",44,2,99802.3140534609,"result/conventional_cdm/dataset_044_K_2.rds"
"conventional_cdm",44,3,99708.9026797495,"result/conventional_cdm/dataset_044_K_3.rds"
"conventional_cdm",44,4,98572.8679926647,"result/conventional_cdm/dataset_044_K_4.rds"
"conventional_cdm",44,5,97605.0738680585,"result/conventional_cdm/dataset_044_K_5.rds"
"conventional_cdm",44,6,97730.2981107537,"result/conventional_cdm/dataset_044_K_6.rds"
"conventional_cdm",45,2,99679.6484629494,"result/conventional_cdm/dataset_045_K_2.rds"
"conventional_cdm",45,3,99872.2132183592,"result/conventional_cdm/dataset_045_K_3.rds"
"conventional_cdm",45,4,97128.4106780682,"result/conventional_cdm/dataset_045_K_4.rds"
"conventional_cdm",45,5,97217.8819256175,"result/conventional_cdm/dataset_045_K_5.rds"
"conventional_cdm",45,6,97414.5905182532,"result/conventional_cdm/dataset_045_K_6.rds"
"conventional_cdm",46,2,99723.400430373,"result/conventional_cdm/dataset_046_K_2.rds"
"conventional_cdm",46,3,98446.6468269333,"result/conventional_cdm/dataset_046_K_3.rds"
"conventional_cdm",46,4,97429.2434142612,"result/conventional_cdm/dataset_046_K_4.rds"
"conventional_cdm",46,5,97642.5431139174,"result/conventional_cdm/dataset_046_K_5.rds"
"conventional_cdm",46,6,98023.7882072331,"result/conventional_cdm/dataset_046_K_6.rds"
"conventional_cdm",47,2,100159.712218011,"result/conventional_cdm/dataset_047_K_2.rds"
"conventional_cdm",47,3,98815.7177935882,"result/conventional_cdm/dataset_047_K_3.rds"
"conventional_cdm",47,4,97701.1647994338,"result/conventional_cdm/dataset_047_K_4.rds"
"conventional_cdm",47,5,97823.015595825,"result/conventional_cdm/dataset_047_K_5.rds"
"conventional_cdm",47,6,98070.6618178168,"result/conventional_cdm/dataset_047_K_6.rds"
"conventional_cdm",48,2,100150.37319846,"result/conventional_cdm/dataset_048_K_2.rds"
"conventional_cdm",48,3,99227.5874129741,"result/conventional_cdm/dataset_048_K_3.rds"
"conventional_cdm",48,4,97757.0875396933,"result/conventional_cdm/dataset_048_K_4.rds"
"conventional_cdm",48,5,97874.9252534819,"result/conventional_cdm/dataset_048_K_5.rds"
"conventional_cdm",48,6,98107.5434067097,"result/conventional_cdm/dataset_048_K_6.rds"
"conventional_cdm",49,2,99975.0256095896,"result/conventional_cdm/dataset_049_K_2.rds"
"conventional_cdm",49,3,98713.5840013348,"result/conventional_cdm/dataset_049_K_3.rds"
"conventional_cdm",49,4,99006.9826853869,"result/conventional_cdm/dataset_049_K_4.rds"
"conventional_cdm",49,5,97771.2028861168,"result/conventional_cdm/dataset_049_K_5.rds"
"conventional_cdm",49,6,98290.9137829374,"result/conventional_cdm/dataset_049_K_6.rds"
"conventional_cdm",50,2,99699.1992135471,"result/conventional_cdm/dataset_050_K_2.rds"
"conventional_cdm",50,3,98370.3059989891,"result/conventional_cdm/dataset_050_K_3.rds"
"conventional_cdm",50,4,98533.7248319516,"result/conventional_cdm/dataset_050_K_4.rds"
"conventional_cdm",50,5,97549.4079277402,"result/conventional_cdm/dataset_050_K_5.rds"
"conventional_cdm",50,6,97916.0325506188,"result/conventional_cdm/dataset_050_K_6.rds"
"conventional_cdm",51,2,100053.281192225,"result/conventional_cdm/dataset_051_K_2.rds"
"conventional_cdm",51,3,98638.1635357518,"result/conventional_cdm/dataset_051_K_3.rds"
"conventional_cdm",51,4,97737.0100587768,"result/conventional_cdm/dataset_051_K_4.rds"
"conventional_cdm",51,5,98185.4676719423,"result/conventional_cdm/dataset_051_K_5.rds"
"conventional_cdm",51,6,98090.1876232218,"result/conventional_cdm/dataset_051_K_6.rds"
"conventional_cdm",52,2,99759.4966961392,"result/conventional_cdm/dataset_052_K_2.rds"
"conventional_cdm",52,3,98546.6382655785,"result/conventional_cdm/dataset_052_K_3.rds"
"conventional_cdm",52,4,97496.119487317,"result/conventional_cdm/dataset_052_K_4.rds"
"conventional_cdm",52,5,97711.8322918652,"result/conventional_cdm/dataset_052_K_5.rds"
"conventional_cdm",52,6,98036.7523963698,"result/conventional_cdm/dataset_052_K_6.rds"
"conventional_cdm",53,2,100067.39281038,"result/conventional_cdm/dataset_053_K_2.rds"
"conventional_cdm",53,3,98726.4555960662,"result/conventional_cdm/dataset_053_K_3.rds"
"conventional_cdm",53,4,98787.3711837,"result/conventional_cdm/dataset_053_K_4.rds"
"conventional_cdm",53,5,97728.4918673599,"result/conventional_cdm/dataset_053_K_5.rds"
"conventional_cdm",53,6,98192.5741968671,"result/conventional_cdm/dataset_053_K_6.rds"
"conventional_cdm",54,2,99942.3812746776,"result/conventional_cdm/dataset_054_K_2.rds"
"conventional_cdm",54,3,98612.3590613522,"result/conventional_cdm/dataset_054_K_3.rds"
"conventional_cdm",54,4,97547.262828608,"result/conventional_cdm/dataset_054_K_4.rds"
"conventional_cdm",54,5,97725.7219007608,"result/conventional_cdm/dataset_054_K_5.rds"
"conventional_cdm",54,6,98170.3457396206,"result/conventional_cdm/dataset_054_K_6.rds"
"conventional_cdm",55,2,100058.750236293,"result/conventional_cdm/dataset_055_K_2.rds"
"conventional_cdm",55,3,98694.3834775218,"result/conventional_cdm/dataset_055_K_3.rds"
"conventional_cdm",55,4,97702.6257043847,"result/conventional_cdm/dataset_055_K_4.rds"
"conventional_cdm",55,5,98133.7770584261,"result/conventional_cdm/dataset_055_K_5.rds"
"conventional_cdm",55,6,98266.7512497414,"result/conventional_cdm/dataset_055_K_6.rds"
"conventional_cdm",56,2,100088.731065954,"result/conventional_cdm/dataset_056_K_2.rds"
"conventional_cdm",56,3,98824.0269049329,"result/conventional_cdm/dataset_056_K_3.rds"
"conventional_cdm",56,4,97724.9013463601,"result/conventional_cdm/dataset_056_K_4.rds"
"conventional_cdm",56,5,97927.6712445056,"result/conventional_cdm/dataset_056_K_5.rds"
"conventional_cdm",56,6,98295.375410449,"result/conventional_cdm/dataset_056_K_6.rds"
"conventional_cdm",57,2,99654.5054445294,"result/conventional_cdm/dataset_057_K_2.rds"
"conventional_cdm",57,3,98431.2623018356,"result/conventional_cdm/dataset_057_K_3.rds"
"conventional_cdm",57,4,98591.443596887,"result/conventional_cdm/dataset_057_K_4.rds"
"conventional_cdm",57,5,97636.9267505286,"result/conventional_cdm/dataset_057_K_5.rds"
"conventional_cdm",57,6,98132.5582143379,"result/conventional_cdm/dataset_057_K_6.rds"
"conventional_cdm",58,2,99988.8563744753,"result/conventional_cdm/dataset_058_K_2.rds"
"conventional_cdm",58,3,98760.6236193748,"result/conventional_cdm/dataset_058_K_3.rds"
"conventional_cdm",58,4,97763.9152248116,"result/conventional_cdm/dataset_058_K_4.rds"
"conventional_cdm",58,5,97819.5257411757,"result/conventional_cdm/dataset_058_K_5.rds"
"conventional_cdm",58,6,98221.130625846,"result/conventional_cdm/dataset_058_K_6.rds"
"conventional_cdm",59,2,99780.2168095389,"result/conventional_cdm/dataset_059_K_2.rds"
"conventional_cdm",59,3,98584.8168846247,"result/conventional_cdm/dataset_059_K_3.rds"
"conventional_cdm",59,4,100184.646258439,"result/conventional_cdm/dataset_059_K_4.rds"
"conventional_cdm",59,5,97769.9426305312,"result/conventional_cdm/dataset_059_K_5.rds"
"conventional_cdm",59,6,98166.6268823291,"result/conventional_cdm/dataset_059_K_6.rds"
"conventional_cdm",60,2,99873.9004905958,"result/conventional_cdm/dataset_060_K_2.rds"
"conventional_cdm",60,3,98491.1436271751,"result/conventional_cdm/dataset_060_K_3.rds"
"conventional_cdm",60,4,97547.16349643,"result/conventional_cdm/dataset_060_K_4.rds"
"conventional_cdm",60,5,97627.7522326925,"result/conventional_cdm/dataset_060_K_5.rds"
"conventional_cdm",60,6,98168.6100050812,"result/conventional_cdm/dataset_060_K_6.rds"
"conventional_cdm",61,2,100182.826883535,"result/conventional_cdm/dataset_061_K_2.rds"
"conventional_cdm",61,3,98911.7751154213,"result/conventional_cdm/dataset_061_K_3.rds"
"conventional_cdm",61,4,97780.8049855628,"result/conventional_cdm/dataset_061_K_4.rds"
