"scenario_id","replicate_id","n","J","J_block","true_K1","true_K2","fit_K1","fit_K2","bic","elapsed_min","seed","path","correct"
14,38,1000,48,24,4,4,2,4,100047.64723944,1.36105533440908,14968024,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_038/fit_K1_2_K2_4.rds",FALSE
17,38,1000,72,36,4,4,4,4,148517.795179862,2.60582865079244,17968044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_038/fit_K1_4_K2_4.rds",TRUE
2,39,1000,48,24,2,2,2,2,98851.1362031632,0.828080276648203,2969022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_039/fit_K1_2_K2_2.rds",TRUE
5,39,1000,72,36,2,2,2,2,147237.758801723,1.14825474023819,5969022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_039/fit_K1_2_K2_2.rds",TRUE
8,39,1000,48,24,3,3,3,3,99505.5608106545,1.15106615622838,8969033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_039/fit_K1_3_K2_3.rds",TRUE
11,39,1000,72,36,3,3,3,3,147692.316320987,1.6220078309377,11969033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_039/fit_K1_3_K2_3.rds",TRUE
14,39,1000,48,24,4,4,2,4,100462.567674054,1.3754493077596,14969024,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_039/fit_K1_2_K2_4.rds",FALSE
17,39,1000,72,36,4,4,4,4,148144.14743883,2.70433878898621,17969044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_039/fit_K1_4_K2_4.rds",TRUE
2,40,1000,48,24,2,2,2,2,98969.5105838839,0.77987140417099,2970022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_040/fit_K1_2_K2_2.rds",TRUE
5,40,1000,72,36,2,2,2,2,147146.575927047,1.17119771639506,5970022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_040/fit_K1_2_K2_2.rds",TRUE
8,40,1000,48,24,3,3,3,3,99087.2784124227,1.22467935880025,8970033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_040/fit_K1_3_K2_3.rds",TRUE
11,40,1000,72,36,3,3,3,3,147534.102770857,1.62026318709056,11970033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_040/fit_K1_3_K2_3.rds",TRUE
14,40,1000,48,24,4,4,1,4,100330.384408303,1.11173841158549,14970014,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_040/fit_K1_1_K2_4.rds",FALSE
17,40,1000,72,36,4,4,4,4,148361.731981101,2.59787333011627,17970044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_040/fit_K1_4_K2_4.rds",TRUE
2,41,1000,48,24,2,2,2,2,98896.0137733181,0.828602135181427,2971022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_041/fit_K1_2_K2_2.rds",TRUE
5,41,1000,72,36,2,2,2,2,146759.477414997,1.22047215302785,5971022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_041/fit_K1_2_K2_2.rds",TRUE
8,41,1000,48,24,3,3,3,3,99517.2980963343,1.16294451951981,8971033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_041/fit_K1_3_K2_3.rds",TRUE
11,41,1000,72,36,3,3,3,3,148035.579224316,1.63912142515182,11971033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_041/fit_K1_3_K2_3.rds",TRUE
14,41,1000,48,24,4,4,2,4,100554.491359866,1.26874628067017,14971024,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_041/fit_K1_2_K2_4.rds",FALSE
17,41,1000,72,36,4,4,4,4,148378.322540766,2.6131657799085,17971044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_041/fit_K1_4_K2_4.rds",TRUE
2,42,1000,48,24,2,2,2,2,99037.7913796778,0.818469591935476,2972022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_042/fit_K1_2_K2_2.rds",TRUE
5,42,1000,72,36,2,2,2,2,146710.048532159,1.13930581013362,5972022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_042/fit_K1_2_K2_2.rds",TRUE
8,42,1000,48,24,3,3,3,3,99636.8957236749,1.23895851771037,8972033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_042/fit_K1_3_K2_3.rds",TRUE
11,42,1000,72,36,3,3,3,3,148061.157091742,1.63552353779475,11972033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_042/fit_K1_3_K2_3.rds",TRUE
14,42,1000,48,24,4,4,2,4,100239.175980254,1.2684344847997,14972024,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_042/fit_K1_2_K2_4.rds",FALSE
17,42,1000,72,36,4,4,4,4,148624.837317526,2.59484293063482,17972044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_042/fit_K1_4_K2_4.rds",TRUE
2,43,1000,48,24,2,2,2,2,99061.4510336946,0.782629776000977,2973022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_043/fit_K1_2_K2_2.rds",TRUE
5,43,1000,72,36,2,2,2,2,147080.757306541,1.1400856812795,5973022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_043/fit_K1_2_K2_2.rds",TRUE
8,43,1000,48,24,3,3,3,3,99869.6953377075,1.17773010730743,8973033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_043/fit_K1_3_K2_3.rds",TRUE
