"scenario_id","replicate_id","n","J","J_block","K","parameter_block","n_parameter","median_rhat","q95_rhat","max_rhat","n_nonfinite","n_over_1.01","n_over_1.05","proportion_below_1.01","proportion_below_1.05"
9,50,2000,48,24,3,"eta",15,1.00212793036024,1.00680754007756,1.00954814487712,0,0,0,1,1
9,50,2000,48,24,3,"Delta1",96,1.00483751892567,1.02024759179212,1.04424991396243,0,19,0,0.802083333333333,1
9,50,2000,48,24,3,"Delta2",96,1.00408148924123,1.01394949624743,1.0248888558135,0,15,0,0.84375,1
9,50,2000,48,24,3,"Q1",72,1,1.003626234585,1.01672804595577,0,1,0,0.986111111111111,1
9,50,2000,48,24,3,"Q2",72,1,1.0052490146346,1.01712965445526,0,1,0,0.986111111111111,1
9,100,2000,48,24,3,"eta",15,1.00354760280272,1.00684092159503,1.0078151456357,0,0,0,1,1
9,100,2000,48,24,3,"Delta1",96,1.00408626339383,1.0169802042298,1.01987340536952,0,21,0,0.78125,1
9,100,2000,48,24,3,"Delta2",96,1.00394308790615,1.01335120539553,1.02467259084239,0,18,0,0.8125,1
9,100,2000,48,24,3,"Q1",72,1,1.00484136836012,1.01149575969935,0,1,0,0.986111111111111,1
9,100,2000,48,24,3,"Q2",72,1,1.00520492396213,1.01363335817281,0,3,0,0.958333333333333,1
10,1,500,72,36,3,"eta",15,1.00090125349923,1.0038353837436,1.00525633847116,0,0,0,1,1
10,1,500,72,36,3,"Delta1",144,1.00325563731576,1.01127245050259,1.01691623131147,0,14,0,0.902777777777778,1
10,1,500,72,36,3,"Delta2",144,1.00338708169541,1.01114373118711,1.02245206212487,0,11,0,0.923611111111111,1
10,1,500,72,36,3,"Q1",108,1.00004046557806,1.00390384795945,1.00660455783694,0,0,0,1,1
10,1,500,72,36,3,"Q2",108,1,1.00520336435609,1.00782280205285,0,0,0,1,1
10,50,500,72,36,3,"eta",15,1.0020194192465,1.00382310637123,1.00495171006159,0,0,0,1,1
10,50,500,72,36,3,"Delta1",144,1.00341439948257,1.01108672011782,1.01715232983854,0,11,0,0.923611111111111,1
10,50,500,72,36,3,"Delta2",144,1.00322504226914,1.01178907113525,1.0243030880891,0,13,0,0.909722222222222,1
10,50,500,72,36,3,"Q1",108,1,1.00476797761723,1.00922207532785,0,0,0,1,1
10,50,500,72,36,3,"Q2",108,1,1.00389795541286,1.00861119551321,0,0,0,1,1
10,100,500,72,36,3,"eta",15,1.00094560500786,1.00251599858906,1.00273018669938,0,0,0,1,1
10,100,500,72,36,3,"Delta1",144,1.0036517866221,1.01282243722146,1.0284510574008,0,13,0,0.909722222222222,1
10,100,500,72,36,3,"Delta2",144,1.00358646050968,1.01050647595641,1.01698205506394,0,10,0,0.930555555555556,1
10,100,500,72,36,3,"Q1",108,1,1.00496760473749,1.00933970773885,0,0,0,1,1
10,100,500,72,36,3,"Q2",108,1,1.00390719122107,1.0064388707453,0,0,0,1,1
11,1,1000,72,36,3,"eta",15,1.0012413446913,1.00272472772786,1.00387967520344,0,0,0,1,1
11,1,1000,72,36,3,"Delta1",144,1.00353622678197,1.01147329612975,1.02555368767558,0,14,0,0.902777777777778,1
11,1,1000,72,36,3,"Delta2",144,1.00309057696847,1.01126362426088,1.01939085567134,0,14,0,0.902777777777778,1
11,1,1000,72,36,3,"Q1",108,1,1.00472703978241,1.02012770138782,0,1,0,0.990740740740741,1
11,1,1000,72,36,3,"Q2",108,1,1.0034895187892,1.00633634790775,0,0,0,1,1
11,50,1000,72,36,3,"eta",15,1.00107671849956,1.00287677438308,1.00295875620086,0,0,0,1,1
11,50,1000,72,36,3,"Delta1",144,1.00376740286017,1.0113596374805,1.01918760325362,0,10,0,0.930555555555556,1
11,50,1000,72,36,3,"Delta2",144,1.0031293072449,1.01025435475361,1.01732968554456,0,9,0,0.9375,1
11,50,1000,72,36,3,"Q1",108,1,1.00460882648264,1.01165003629753,0,1,0,0.990740740740741,1
11,50,1000,72,36,3,"Q2",108,1,1.00344437391334,1.00638526479633,0,0,0,1,1
11,100,1000,72,36,3,"eta",15,1.00215464300978,1.00374783978862,1.00398165092894,0,0,0,1,1
11,100,1000,72,36,3,"Delta1",144,1.00408853928022,1.01654531660543,1.02463927261795,0,28,0,0.805555555555556,1
11,100,1000,72,36,3,"Delta2",144,1.00336678403774,1.00992954629817,1.01487790331578,0,7,0,0.951388888888889,1
11,100,1000,72,36,3,"Q1",108,1,1.00557623726401,1.01060241597722,0,1,0,0.990740740740741,1
11,100,1000,72,36,3,"Q2",108,1,1.0039212383545,1.00808976168852,0,0,0,1,1
12,1,2000,72,36,3,"eta",15,1.00165184053565,1.00291957077573,1.00294428997688,0,0,0,1,1
12,1,2000,72,36,3,"Delta1",144,1.00374580637957,1.01270565693325,1.01764109442123,0,17,0,0.881944444444444,1
12,1,2000,72,36,3,"Delta2",144,1.00273364209712,1.01176829095294,1.02705384368967,0,13,0,0.909722222222222,1
12,1,2000,72,36,3,"Q1",108,1,1.0060344709096,1.01157904060746,0,2,0,0.981481481481482,1
12,1,2000,72,36,3,"Q2",108,1,1.00276789720168,1.01693801814359,0,1,0,0.990740740740741,1
12,50,2000,72,36,3,"eta",15,1.00066597511889,1.00158830455927,1.00162911303247,0,0,0,1,1
12,50,2000,72,36,3,"Delta1",144,1.00341628210919,1.01350569703437,1.0270850413217,0,21,0,0.854166666666667,1
12,50,2000,72,36,3,"Delta2",144,1.00372554084105,1.01228824399853,1.01703622647329,0,15,0,0.895833333333333,1
12,50,2000,72,36,3,"Q1",108,1,1.00601979552246,1.01171877410827,0,2,0,0.981481481481482,1
12,50,2000,72,36,3,"Q2",108,1,1.00386136881069,1.01221209817657,0,1,0,0.990740740740741,1
12,100,2000,72,36,3,"eta",15,1.00199855643641,1.00507836232786,1.00652819610985,0,0,0,1,1
12,100,2000,72,36,3,"Delta1",144,1.00444004353416,1.02183557480146,1.03355339375653,0,22,0,0.847222222222222,1
12,100,2000,72,36,3,"Delta2",144,1.00249306738936,1.0106318848781,1.01647546033409,0,10,0,0.930555555555556,1
12,100,2000,72,36,3,"Q1",108,1,1.00605870941357,1.03360461136821,0,4,0,0.962962962962963,1
12,100,2000,72,36,3,"Q2",108,1,1.00258640317123,1.01241923523071,0,2,0,0.981481481481482,1
13,1,500,48,24,4,"eta",24,1.00368209841755,1.01230434985038,1.01345633420194,0,3,0,0.875,1
13,1,500,48,24,4,"Delta1",120,1.0067957900363,1.0247258304095,1.04073990247771,0,44,0,0.633333333333333,1
13,1,500,48,24,4,"Delta2",120,1.00680339576794,1.02151537227029,1.0423416086371,0,41,0,0.658333333333333,1
13,1,500,48,24,4,"Q1",96,1.00029080908949,1.01180862027659,1.02811423054827,0,8,0,0.916666666666667,1
13,1,500,48,24,4,"Q2",96,1.00038527684034,1.00882772962563,1.01387106285964,0,3,0,0.96875,1
13,50,500,48,24,4,"eta",24,1.00509513646309,1.01236094391434,1.01999904127475,0,5,0,0.791666666666667,1
13,50,500,48,24,4,"Delta1",120,1.00788122299441,1.03070261523484,1.05399544244236,0,55,1,0.541666666666667,0.991666666666667
13,50,500,48,24,4,"Delta2",120,1.00525396115232,1.0212087449079,1.03581348628645,0,35,0,0.708333333333333,1
13,50,500,48,24,4,"Q1",96,1.00042132098952,1.0153271283392,1.03229386489902,0,13,0,0.864583333333333,1
13,50,500,48,24,4,"Q2",96,1.00051041288779,1.01016651070715,1.0244173420063,0,5,0,0.947916666666667,1
13,100,500,48,24,4,"eta",24,1.00614140535049,1.01511629058286,1.02303076101116,0,5,0,0.791666666666667,1
13,100,500,48,24,4,"Delta1",120,1.00695843251073,1.03821278643039,1.06072124000834,0,46,1,0.616666666666667,0.991666666666667
13,100,500,48,24,4,"Delta2",120,1.00536555372448,1.03598196499228,1.1075152041556,0,40,5,0.666666666666667,0.958333333333333
13,100,500,48,24,4,"Q1",96,1.00046626490439,1.01077914189911,1.03086949425646,0,8,0,0.916666666666667,1
13,100,500,48,24,4,"Q2",96,1.00053187227451,1.01437635971351,1.05893352479042,0,9,1,0.90625,0.989583333333333
14,1,1000,48,24,4,"eta",24,1.00564946633737,1.01637312906909,1.02813064544272,0,5,0,0.791666666666667,1
14,1,1000,48,24,4,"Delta1",120,1.00645272471418,1.02810610844715,1.03121448456227,0,42,0,0.65,1
14,1,1000,48,24,4,"Delta2",120,1.0044118262655,1.02690378965828,1.05127274808835,0,35,1,0.708333333333333,0.991666666666667
14,1,1000,48,24,4,"Q1",96,1.00064334996656,1.01511616498443,1.02625047370204,0,11,0,0.885416666666667,1
14,1,1000,48,24,4,"Q2",96,1.00038082014098,1.01261479027299,1.04004875894551,0,8,0,0.916666666666667,1
